retro_game_id,year,month,day,st_fl,regseason_fl,playoff_fl,game_type,game_type_des,local_game_time,game_id,home_team_id,away_team_id,home_team_lg,away_team_lg,interleague_fl,park_id,park_name,inning_number,home_id,park_location,b,s,o,des,event,player_mlbid,player_first_name,player_last_name,player_box_name,pitch,event_num,home_team_runs,away_team_runs
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,1,0,"Chicago, IL",2,1,1,Wild pitch by pitcher Dylan Cease.   David Fletcher to 2nd.,Wild Pitch,664058,David,Fletcher,Fletcher,3,14,0,0
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,1,0,"Chicago, IL",0,0,2,Mound Visit.,Game Advisory,607345,Kevan,Smith,"Smith, K",1,50,0,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,1,1,"Chicago, IL",0,0,1,Mound Visit.,Game Advisory,650391,Eloy,Jimenez,Jiménez,1,66,0,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,1,1,"Chicago, IL",0,0,2,Mound Visit.,Game Advisory,605474,Matt,Skole,Skole,1,75,1,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,1,1,"Chicago, IL",0,0,2,Pitching Change: Jaime Barria replaces Noe Ramirez.,Pitching Substitution,642545,Jaime,Barria,Barria,1,76,1,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,2,0,"Chicago, IL",0,0,1,Mound Visit.,Game Advisory,660271,Shohei,Ohtani,Ohtani,1,30,1,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,4,0,"Chicago, IL",0,0,1,Mound Visit.,Game Advisory,571718,Brian,Goodwin,Goodwin,1,16,2,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,4,0,"Chicago, IL",0,0,1,Pitching Change: Josh Osich replaces Dylan Cease.,Pitching Substitution,592612,Josh,Osich,Osich,1,17,2,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,6,1,"Chicago, IL",0,0,0,Pitching Change: Miguel Del Pozo replaces Jaime Barria.,Pitching Substitution,600887,Miguel,Del Pozo,"Del Pozo, M",1,23,3,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,6,1,"Chicago, IL",0,0,0,Mound Visit.,Game Advisory,570560,Yolmer,Sanchez,"Sánchez, Y",1,29,3,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,6,1,"Chicago, IL",0,0,2,Mound Visit.,Game Advisory,664901,Danny,Mendick,Mendick,1,39,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,6,1,"Chicago, IL",0,0,2,Pitching Change: Keynan Middleton replaces Miguel Del Pozo.,Pitching Substitution,641871,Keynan,Middleton,Middleton,1,40,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,7,0,"Chicago, IL",0,0,0,"Defensive Substitution: Ryan Cordell replaces right fielder Ryan Goins, batting 7th, playing right field.",Defensive Sub,641477,Ryan,Cordell,Cordell,1,1,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,7,0,"Chicago, IL",0,0,0,Pitching Change: Aaron Bummer replaces Josh Osich.,Pitching Substitution,607481,Aaron,Bummer,Bummer,1,2,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,7,1,"Chicago, IL",0,0,0,Pitching Change: Trevor Cahill replaces Keynan Middleton.,Pitching Substitution,502239,Trevor,Cahill,Cahill,1,26,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,7,1,"Chicago, IL",0,0,1,Mound Visit.,Game Advisory,605474,Matt,Skole,Skole,1,33,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,7,1,"Chicago, IL",0,0,1,Pitching Change: Adalberto Mejia replaces Trevor Cahill.,Pitching Substitution,606167,Adalberto,Mejia,Mejía,1,34,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,7,1,"Chicago, IL",0,0,1,Offensive Substitution: Pinch-hitter Welington Castillo replaces Matt Skole.,Offensive Substitution,456078,Welington,Castillo,Castillo,1,35,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,7,1,"Chicago, IL",0,0,1,Mound Visit.,Game Advisory,641477,Ryan,Cordell,Cordell,1,40,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,7,1,"Chicago, IL",0,0,1,Pitching Change: Taylor Cole replaces Adalberto Mejia.,Pitching Substitution,518566,Taylor,Cole,"Cole, T",1,41,4,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,8,0,"Chicago, IL",0,0,0,Welington Castillo remains in the game as the designated hitter.,Defensive Switch,456078,Welington,Castillo,Castillo,1,1,5,1
CHA201909080,2019,9,8,F,T,F,R,Regular Season,13:10,567334,cha,ana,AL,AL,F,4,Guaranteed Rate Field,9,0,"Chicago, IL",0,0,0,Pitching Change: Alex Colome replaces Aaron Bummer.,Pitching Substitution,517008,Alex,Colome,Colomé,1,1,5,1
CIN201909080,2019,9,8,F,T,F,R,Regular Season,13:10,565294,cin,ari,NL,NL,F,2602,Great American Ball Park,5,0,"Cincinnati, OH",0,0,1,Mound Visit.,Game Advisory,500871,Eduardo,Escobar,"Escobar, E",1,16,2,3
CIN201909080,2019,9,8,F,T,F,R,Regular Season,13:10,565294,cin,ari,NL,NL,F,2602,Great American Ball Park,7,0,"Cincinnati, OH",0,0,0,Defensive switch from right field to second base for Josh VanMeter.,Defensive Switch,642165,Josh,VanMeter,VanMeter,1,1,2,3
