retro_game_id,id,first,last,position,name
WAS201909150,427534,Bill,Welke,home,Bill Welke
WAS201909150,483912,Mike,Muchlinski,first,Mike Muchlinski
WAS201909150,427128,Rob,Drake,second,Rob Drake
WAS201909150,427509,Tim,Timmons,third,Tim Timmons
DET201909150,503490,Chris,Segal,home,Chris Segal
DET201909150,577468,Roberto,Ortiz,first,Roberto Ortiz
DET201909150,427013,Lance,Barksdale,second,Lance Barksdale
DET201909150,427019,Ted,Barrett,third,Ted Barrett
PHI201909150,573597,Gabe,Morales,home,Gabe Morales
PHI201909150,427339,Jerry,Meals,first,Jerry Meals
PHI201909150,427292,Ron,Kulpa,second,Ron Kulpa
PHI201909150,427129,Bruce,Dreckman,third,Bruce Dreckman
SEA201909150,605673,Alex,Tosi,home,Alex Tosi
SEA201909150,427243,Marvin,Hudson,first,Marvin Hudson
SEA201909150,511890,Quinn,Wolcott,second,Quinn Wolcott
SEA201909150,482641,Adrian,Johnson,third,Adrian Johnson
ARI201909150,427184,Greg,Gibson,home,Greg Gibson
ARI201909150,503502,Ryan,Blakney,first,Ryan Blakney
ARI201909150,431232,Chad,Fairchild,second,Chad Fairchild
ARI201909150,482631,Mike,Estabrook,third,Mike Estabrook
KCA201909150,596740,Jansen,Visconti,home,Jansen Visconti
KCA201909150,427156,Mike,Everitt,first,Mike Everitt
KCA201909150,483561,Lance,Barrett,second,Lance Barrett
KCA201909150,427197,Chris,Guccione,third,Chris Guccione
NYN201909150,483569,Vic,Carapazza,home,Vic Carapazza
NYN201909150,427248,Dan,Iassogna,first,Dan Iassogna
NYN201909150,427537,Hunter,Wendelstedt,second,Hunter Wendelstedt
NYN201909150,521251,Ben,May,third,Ben May
SFN201909150,482666,D.J.,Reyburn,home,D.J. Reyburn
SFN201909150,521051,Nick,Mahrley,first,Nick Mahrley
SFN201909150,427090,Fieldin,Culbreth,second,Fieldin Culbreth
SFN201909150,427044,CB,Bucknor,third,CB Bucknor
SLN201909150,427093,Phil,Cuzzi,home,Phil Cuzzi
SLN201909150,503077,Adam,Hamari,first,Adam Hamari
SLN201909150,427206,Tom,Hallion,second,Tom Hallion
SLN201909150,429805,Todd,Tichenor,third,Todd Tichenor
CLE201909150,484198,Alan,Porter,home,Alan Porter
CLE201909150,483630,John,Tumpane,first,John Tumpane
CLE201909150,427533,Mark,Wegner,second,Mark Wegner
CLE201909150,521889,Stu,Scheurwater,third,Stu Scheurwater
TOR201909150,484499,Manny,Gonzalez,home,Manny Gonzalez
TOR201909150,427235,Sam,Holbrook,first,Sam Holbrook
TOR201909150,427554,Jim,Wolf,second,Jim Wolf
TOR201909150,596809,Ryan,Additon,third,Ryan Additon
TEX201909150,503586,Tripp,Gibson,home,Tripp Gibson
TEX201909150,575629,Shane,Livensparger,first,Shane Livensparger
TEX201909150,427053,Mark,Carlson,second,Mark Carlson
TEX201909150,490319,Jordan,Baker,third,Jordan Baker
CHN201909150,483564,Dan,Bellino,home,Dan Bellino
CHN201909150,605672,Jeremie,Rehak,first,Jeremie Rehak
CHN201909150,482663,David,Rackley,second,David Rackley
CHN201909150,427315,Alfonso,Marquez,third,Alfonso Marquez
COL201909150,596805,John,Libka,home,John Libka
COL201909150,427224,Ed,Hickox,first,Ed Hickox
COL201909150,547380,Carlos,Torres,second,Carlos Torres
COL201909150,427361,Paul,Nauert,third,Paul Nauert
ANA201909150,573596,Pat,Hoberg,home,Pat Hoberg
ANA201909150,427103,Gerry,Davis,first,Gerry Davis
ANA201909150,427286,Brian,Knight,second,Brian Knight
ANA201909150,427095,Kerwin,Danley,third,Kerwin Danley
