retro_game_id,id,first,last,position,name
NYN201909090,573597,Gabe,Morales,home,Gabe Morales
NYN201909090,427139,Doug,Eddings,first,Doug Eddings
NYN201909090,427339,Jerry,Meals,second,Jerry Meals
NYN201909090,596809,Ryan,Additon,third,Ryan Additon
PHI201909090,483630,John,Tumpane,home,John Tumpane
PHI201909090,427013,Lance,Barksdale,first,Lance Barksdale
PHI201909090,427019,Ted,Barrett,second,Ted Barrett
PHI201909090,577468,Roberto,Ortiz,third,Roberto Ortiz
SDN201909090,427090,Fieldin,Culbreth,home,Fieldin Culbreth
SDN201909090,427044,CB,Bucknor,first,CB Bucknor
SDN201909090,482666,D.J.,Reyburn,second,D.J. Reyburn
SDN201909090,594151,Ramon,Jesus,third,Ramon De Jesus
ANA201909090,427197,Chris,Guccione,home,Chris Guccione
ANA201909090,427534,Bill,Welke,first,Bill Welke
ANA201909090,524988,Tom,Woodring,second,Tom Woodring
ANA201909090,483561,Lance,Barrett,third,Lance Barrett
MIA201909090,427053,Mark,Carlson,home,Mark Carlson
MIA201909090,427095,Kerwin,Danley,first,Kerwin Danley
MIA201909090,503586,Tripp,Gibson,second,Tripp Gibson
MIA201909090,575629,Shane,Livensparger,third,Shane Livensparger
BOS201909090,427128,Rob,Drake,home,Rob Drake
BOS201909090,427509,Tim,Timmons,first,Tim Timmons
BOS201909090,427292,Ron,Kulpa,second,Ron Kulpa
BOS201909090,483912,Mike,Muchlinski,third,Mike Muchlinski
HOU201909090,482641,Adrian,Johnson,home,Adrian Johnson
HOU201909090,482620,Chris,Conroy,first,Chris Conroy
HOU201909090,427243,Marvin,Hudson,second,Marvin Hudson
HOU201909090,484183,Cory,Blaser,third,Cory Blaser
SFN201909090,431232,Chad,Fairchild,home,Chad Fairchild
SFN201909090,427144,Paul,Emmel,first,Paul Emmel
SFN201909090,503502,Ryan,Blakney,second,Ryan Blakney
SFN201909090,482631,Mike,Estabrook,third,Mike Estabrook
