retro_game_id,id,first,last,position,name
OAK201909050,428442,James,Hoye,home,James Hoye
OAK201909050,605673,Alex,Tosi,first,Alex Tosi
OAK201909050,483919,Mark,Ripperger,second,Mark Ripperger
OAK201909050,427366,Brian,O'Nora,third,Brian O'Nora
CLE201909050,482620,Chris,Conroy,home,Chris Conroy
CLE201909050,427053,Mark,Carlson,first,Mark Carlson
CLE201909050,503586,Tripp,Gibson,second,Tripp Gibson
CLE201909050,639723,Brennan,Miller,third,Brennan Miller
MIL201909050,483569,Vic,Carapazza,home,Vic Carapazza
MIL201909050,427081,Eric,Cooper,first,Eric Cooper
MIL201909050,490319,Jordan,Baker,second,Jordan Baker
MIL201909050,504381,Will,Little,third,Will Little
KCA201909050,427128,Rob,Drake,home,Rob Drake
KCA201909050,427509,Tim,Timmons,first,Tim Timmons
KCA201909050,577468,Roberto,Ortiz,second,Roberto Ortiz
KCA201909050,483912,Mike,Muchlinski,third,Mike Muchlinski
PIT201909050,427220,Angel,Hernandez,home,Angel Hernandez
PIT201909050,427361,Paul,Nauert,first,Paul Nauert
PIT201909050,596805,John,Libka,second,John Libka
PIT201909050,547380,Carlos,Torres,third,Carlos Torres
BOS201909050,427090,Fieldin,Culbreth,home,Fieldin Culbreth
BOS201909050,427044,CB,Bucknor,first,CB Bucknor
BOS201909050,482666,D.J.,Reyburn,second,D.J. Reyburn
BOS201909050,594151,Ramon,Jesus,third,Ramon De Jesus
CIN201909050,427058,Gary,Cederstrom,home,Gary Cederstrom
CIN201909050,511890,Quinn,Wolcott,first,Quinn Wolcott
CIN201909050,427243,Marvin,Hudson,second,Marvin Hudson
CIN201909050,524988,Tom,Woodring,third,Tom Woodring
HOU201909050,427538,Joe,West,home,Joe West
HOU201909050,427248,Dan,Iassogna,first,Dan Iassogna
HOU201909050,521051,Nick,Mahrley,second,Nick Mahrley
HOU201909050,427537,Hunter,Wendelstedt,third,Hunter Wendelstedt
SLN201909050,484183,Cory,Blaser,home,Cory Blaser
SLN201909050,427362,Jeff,Nelson,first,Jeff Nelson
SLN201909050,427113,Laz,Diaz,second,Laz Diaz
SLN201909050,596740,Jansen,Visconti,third,Jansen Visconti
BAL201909050,521889,Stu,Scheurwater,home,Stu Scheurwater
BAL201909050,484198,Alan,Porter,first,Alan Porter
BAL201909050,427424,Jim,Reynolds,second,Jim Reynolds
BAL201909050,503493,Sean,Barber,third,Sean Barber
TBA201909050,427139,Doug,Eddings,home,Doug Eddings
TBA201909050,427344,Bill,Miller,first,Bill Miller
TBA201909050,521251,Ben,May,second,Ben May
TBA201909050,489985,Chad,Whitson,third,Chad Whitson
ATL201909050,427129,Bruce,Dreckman,home,Bruce Dreckman
ATL201909050,427144,Paul,Emmel,first,Paul Emmel
ATL201909050,503502,Ryan,Blakney,second,Ryan Blakney
ATL201909050,482631,Mike,Estabrook,third,Mike Estabrook
