retro_game_id,id,first,last,position,name
NYN201909120,427292,Ron,Kulpa,home,Ron Kulpa
NYN201909120,573597,Gabe,Morales,first,Gabe Morales
NYN201909120,427139,Doug,Eddings,second,Doug Eddings
NYN201909120,427339,Jerry,Meals,third,Jerry Meals
PHI201909120,577468,Roberto,Ortiz,home,Roberto Ortiz
PHI201909120,483630,John,Tumpane,first,John Tumpane
PHI201909120,427013,Lance,Barksdale,second,Lance Barksdale
PHI201909120,427019,Ted,Barrett,third,Ted Barrett
TOR201909120,503490,Chris,Segal,home,Chris Segal
TOR201909120,427362,Jeff,Nelson,first,Jeff Nelson
TOR201909120,521889,Stu,Scheurwater,second,Stu Scheurwater
TOR201909120,484198,Alan,Porter,third,Alan Porter
SDN201909120,594151,Ramon,Jesus,home,Ramon De Jesus
SDN201909120,427090,Fieldin,Culbreth,first,Fieldin Culbreth
SDN201909120,427044,CB,Bucknor,second,CB Bucknor
SDN201909120,482666,D.J.,Reyburn,third,D.J. Reyburn
SEA201909120,427224,Ed,Hickox,home,Ed Hickox
SEA201909120,547380,Carlos,Torres,first,Carlos Torres
SEA201909120,427361,Paul,Nauert,second,Paul Nauert
SEA201909120,596805,John,Libka,third,John Libka
CHA201909120,605672,Jeremie,Rehak,home,Jeremie Rehak
CHA201909120,482663,David,Rackley,first,David Rackley
CHA201909120,427315,Alfonso,Marquez,second,Alfonso Marquez
CHA201909120,483564,Dan,Bellino,third,Dan Bellino
BAL201909120,427235,Sam,Holbrook,home,Sam Holbrook
BAL201909120,427554,Jim,Wolf,first,Jim Wolf
BAL201909120,596809,Ryan,Additon,second,Ryan Additon
BAL201909120,484499,Manny,Gonzalez,third,Manny Gonzalez
MIA201909120,575629,Shane,Livensparger,home,Shane Livensparger
MIA201909120,427053,Mark,Carlson,first,Mark Carlson
MIA201909120,427095,Kerwin,Danley,second,Kerwin Danley
MIA201909120,503586,Tripp,Gibson,third,Tripp Gibson
DET201909120,427248,Dan,Iassogna,home,Dan Iassogna
DET201909120,521251,Ben,May,first,Ben May
DET201909120,427537,Hunter,Wendelstedt,second,Hunter Wendelstedt
DET201909120,483569,Vic,Carapazza,third,Vic Carapazza
DET201909121,521051,Nick,Mahrley,home,Nick Mahrley
DET201909121,427537,Hunter,Wendelstedt,first,Hunter Wendelstedt
DET201909121,483569,Vic,Carapazza,second,Vic Carapazza
DET201909121,521251,Ben,May,third,Ben May
HOU201909120,484183,Cory,Blaser,home,Cory Blaser
HOU201909120,482641,Adrian,Johnson,first,Adrian Johnson
HOU201909120,482620,Chris,Conroy,second,Chris Conroy
HOU201909120,427243,Marvin,Hudson,third,Marvin Hudson
SFN201909120,503502,Ryan,Blakney,home,Ryan Blakney
SFN201909120,431232,Chad,Fairchild,first,Chad Fairchild
SFN201909120,482631,Mike,Estabrook,second,Mike Estabrook
SFN201909120,427184,Greg,Gibson,third,Greg Gibson
COL201909120,427103,Gerry,Davis,home,Gerry Davis
COL201909120,639723,Brennan,Miller,first,Brennan Miller
COL201909120,427286,Brian,Knight,second,Brian Knight
COL201909120,573596,Pat,Hoberg,third,Pat Hoberg
TEX201909120,483912,Mike,Muchlinski,home,Mike Muchlinski
TEX201909120,427128,Rob,Drake,first,Rob Drake
TEX201909120,427509,Tim,Timmons,second,Tim Timmons
TEX201909120,427413,Tony,Randazzo,third,Tony Randazzo
MIN201909120,503077,Adam,Hamari,home,Adam Hamari
MIN201909120,427206,Tom,Hallion,first,Tom Hallion
MIN201909120,429805,Todd,Tichenor,second,Todd Tichenor
MIN201909120,427093,Phil,Cuzzi,third,Phil Cuzzi
