retro_game_id,year,month,day,st_fl,regseason_fl,playoff_fl,game_type,game_type_des,local_game_time,game_id,home_team_id,away_team_id,home_team_lg,away_team_lg,interleague_fl,park_id,park_name,inning_number,home_id,park_location,b,s,o,des,event,player_mlbid,player_first_name,player_last_name,player_box_name,pitch,event_num,home_team_runs,away_team_runs
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,1,0,"St. Petersburg, FL",0,0,2,Mound Visit.,Game Advisory,542340,Jonathan,Villar,Villar,1,29,0,0
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,6,0,"St. Petersburg, FL",0,0,2,Mound Visit.,Game Advisory,444432,Mark,Trumbo,Trumbo,1,28,4,1
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,6,0,"St. Petersburg, FL",0,0,2,Mound Visit.,Game Advisory,621466,DJ,Stewart,"Stewart, D",1,56,4,4
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,7,0,"St. Petersburg, FL",0,0,0,Pitching Change: Diego Castillo replaces Ryan Yarbrough.,Pitching Substitution,650895,Diego,Castillo,"Castillo, D",1,1,4,4
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,7,0,"St. Petersburg, FL",0,0,0,Offensive Substitution: Pinch-hitter Rio Ruiz replaces Richie Martin.,Offensive Substitution,547004,Rio,Ruiz,"Ruiz, R",1,2,4,4
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,7,1,"St. Petersburg, FL",0,0,0,Defensive switch from third base to second base for Hanser Alberto.,Defensive Switch,593643,Hanser,Alberto,Alberto,1,21,4,4
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,7,1,"St. Petersburg, FL",0,0,0,Defensive switch from second base to shortstop for Jonathan Villar.,Defensive Switch,542340,Jonathan,Villar,Villar,1,22,4,4
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,7,1,"St. Petersburg, FL",0,0,0,Rio Ruiz remains in the game as the third baseman.,Defensive Switch,547004,Rio,Ruiz,"Ruiz, R",1,23,4,4
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,8,0,"St. Petersburg, FL",0,0,0,Pitching Change: Oliver Drake replaces Diego Castillo.,Pitching Substitution,543118,Oliver,Drake,Drake,1,1,4,4
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,8,1,"St. Petersburg, FL",0,0,0,Pitching Change: Tanner Scott replaces Asher Wojciechowski.,Pitching Substitution,656945,Tanner,Scott,"Scott, Tan",1,24,4,4
TBA201909020,2019,9,2,F,T,F,R,Regular Season,13:10,566732,tba,bal,AL,AL,F,12,Tropicana Field,8,1,"St. Petersburg, FL",0,0,1,Injury Delay.,Game Advisory,596847,Ji-Man,Choi,Choi,1,29,4,4
