retro_game_id,game_type,game_type_des,st_fl,regseason_fl,playoff_fl,local_game_time,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,home_team_name,away_team_name,home_team_name_full,away_team_name_full,interleague_fl,park_id,park_name,park_loc
OAK201909050,R,Regular Season,F,T,F,12:37,566155,oak,AL,ana,AL,Oakland,LA Angels,Oakland Athletics,Los Angeles Angels,F,10,Oakland Coliseum,"Oakland, CA"
CLE201909050,R,Regular Season,F,T,F,13:10,565387,cle,AL,cha,AL,Cleveland,Chi White Sox,Cleveland Indians,Chicago White Sox,F,5,Progressive Field,"Cleveland, OH"
MIL201909050,R,Regular Season,F,T,F,18:10,567622,mil,NL,chn,NL,Milwaukee,Chi Cubs,Milwaukee Brewers,Chicago Cubs,F,32,Miller Park,"Milwaukee, WI"
KCA201909050,R,Regular Season,F,T,F,12:15,565774,kca,AL,det,AL,Kansas City,Detroit,Kansas City Royals,Detroit Tigers,F,7,Kauffman Stadium,"Kansas City, MO"
PIT201909050,R,Regular Season,F,T,F,19:05,566248,pit,NL,mia,NL,Pittsburgh,Miami,Pittsburgh Pirates,Miami Marlins,F,31,PNC Park,"Pittsburgh, PA"
BOS201909050,R,Regular Season,F,T,F,19:10,565097,bos,AL,min,AL,Boston,Minnesota,Boston Red Sox,Minnesota Twins,F,3,Fenway Park,"Boston, MA"
CIN201909050,R,Regular Season,F,T,F,12:35,565291,cin,NL,phi,NL,Cincinnati,Philadelphia,Cincinnati Reds,Philadelphia Phillies,F,2602,Great American Ball Park,"Cincinnati, OH"
HOU201909050,R,Regular Season,F,T,F,19:10,565674,hou,AL,sea,AL,Houston,Seattle,Houston Astros,Seattle Mariners,F,2392,Minute Maid Park,"Houston, TX"
SLN201909050,R,Regular Season,F,T,F,12:15,566638,sln,NL,sfn,NL,St. Louis,San Francisco,St. Louis Cardinals,San Francisco Giants,F,2889,Busch Stadium,"St. Louis, MO"
BAL201909050,R,Regular Season,F,T,F,19:05,564998,bal,AL,tex,AL,Baltimore,Texas,Baltimore Orioles,Texas Rangers,F,2,Oriole Park at Camden Yards,"Baltimore, MD"
TBA201909050,R,Regular Season,F,T,F,19:10,566735,tba,AL,tor,AL,Tampa Bay,Toronto,Tampa Bay Rays,Toronto Blue Jays,F,12,Tropicana Field,"St. Petersburg, FL"
ATL201909050,R,Regular Season,F,T,F,19:20,567238,atl,NL,was,NL,Atlanta,Washington,Atlanta Braves,Washington Nationals,F,4705,SunTrust Park,"Atlanta, GA"
