retro_game_id,game_type,game_type_des,st_fl,regseason_fl,playoff_fl,local_game_time,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,home_team_name,away_team_name,home_team_name_full,away_team_name_full,interleague_fl,park_id,park_name,park_loc
TBA201909020,R,Regular Season,F,T,F,13:10,566732,tba,AL,bal,AL,Tampa Bay,Baltimore,Tampa Bay Rays,Baltimore Orioles,F,12,Tropicana Field,"St. Petersburg, FL"
CLE201909020,R,Regular Season,F,T,F,19:10,565384,cle,AL,cha,AL,Cleveland,Chi White Sox,Cleveland Indians,Chicago White Sox,F,5,Progressive Field,"Cleveland, OH"
LAN201909020,R,Regular Season,F,T,F,17:10,565869,lan,NL,col,NL,LA Dodgers,Colorado,Los Angeles Dodgers,Colorado Rockies,F,22,Dodger Stadium,"Los Angeles, CA"
MIL201909020,R,Regular Season,F,T,F,15:10,567620,mil,NL,hou,AL,Milwaukee,Houston,Milwaukee Brewers,Houston Astros,T,32,Miller Park,"Milwaukee, WI"
DET201909020,R,Regular Season,F,T,F,13:10,565577,det,AL,min,AL,Detroit,Minnesota,Detroit Tigers,Minnesota Twins,F,2394,Comerica Park,"Detroit, MI"
WAS201909020,R,Regular Season,F,T,F,13:05,565963,was,NL,nyn,NL,Washington,NY Mets,Washington Nationals,New York Mets,F,3309,Nationals Park,"Washington, DC"
CIN201909020,R,Regular Season,F,T,F,14:10,565288,cin,NL,phi,NL,Cincinnati,Philadelphia,Cincinnati Reds,Philadelphia Phillies,F,2602,Great American Ball Park,"Cincinnati, OH"
ARI201909020,R,Regular Season,F,T,F,13:10,564899,ari,NL,sdn,NL,Arizona,San Diego,Arizona Diamondbacks,San Diego Padres,F,15,Chase Field,"Phoenix, AZ"
CHN201909020,R,Regular Season,F,T,F,13:20,565193,chn,NL,sea,AL,Chi Cubs,Seattle,Chicago Cubs,Seattle Mariners,T,17,Wrigley Field,"Chicago, IL"
SLN201909020,R,Regular Season,F,T,F,13:15,566635,sln,NL,sfn,NL,St. Louis,San Francisco,St. Louis Cardinals,San Francisco Giants,F,2889,Busch Stadium,"St. Louis, MO"
NYA201909020,R,Regular Season,F,T,F,13:05,567528,nya,AL,tex,AL,NY Yankees,Texas,New York Yankees,Texas Rangers,F,3313,Yankee Stadium,"Bronx, NY"
ATL201909020,R,Regular Season,F,T,F,13:20,567236,atl,NL,tor,AL,Atlanta,Toronto,Atlanta Braves,Toronto Blue Jays,T,4705,SunTrust Park,"Atlanta, GA"
