retro_game_id,id,first,last,position,name
NYN201909110,427339,Jerry,Meals,home,Jerry Meals
NYN201909110,427292,Ron,Kulpa,first,Ron Kulpa
NYN201909110,573597,Gabe,Morales,second,Gabe Morales
NYN201909110,427139,Doug,Eddings,third,Doug Eddings
PHI201909110,427019,Ted,Barrett,home,Ted Barrett
PHI201909110,577468,Roberto,Ortiz,first,Roberto Ortiz
PHI201909110,483630,John,Tumpane,second,John Tumpane
PHI201909110,427013,Lance,Barksdale,third,Lance Barksdale
TOR201909110,484198,Alan,Porter,home,Alan Porter
TOR201909110,503490,Chris,Segal,first,Chris Segal
TOR201909110,427362,Jeff,Nelson,second,Jeff Nelson
TOR201909110,521889,Stu,Scheurwater,third,Stu Scheurwater
SDN201909110,482666,D.J.,Reyburn,home,D.J. Reyburn
SDN201909110,594151,Ramon,Jesus,first,Ramon De Jesus
SDN201909110,427090,Fieldin,Culbreth,second,Fieldin Culbreth
SDN201909110,427044,CB,Bucknor,third,CB Bucknor
SEA201909110,596805,John,Libka,home,John Libka
SEA201909110,427224,Ed,Hickox,first,Ed Hickox
SEA201909110,547380,Carlos,Torres,second,Carlos Torres
SEA201909110,427361,Paul,Nauert,third,Paul Nauert
ANA201909110,524988,Tom,Woodring,home,Tom Woodring
ANA201909110,483561,Lance,Barrett,first,Lance Barrett
ANA201909110,427197,Chris,Guccione,second,Chris Guccione
ANA201909110,427534,Bill,Welke,third,Bill Welke
CHA201909110,483564,Dan,Bellino,home,Dan Bellino
CHA201909110,605672,Jeremie,Rehak,first,Jeremie Rehak
CHA201909110,482663,David,Rackley,second,David Rackley
CHA201909110,427315,Alfonso,Marquez,third,Alfonso Marquez
BAL201909110,484499,Manny,Gonzalez,home,Manny Gonzalez
BAL201909110,427235,Sam,Holbrook,first,Sam Holbrook
BAL201909110,427554,Jim,Wolf,second,Jim Wolf
BAL201909110,596809,Ryan,Additon,third,Ryan Additon
MIA201909110,503586,Tripp,Gibson,home,Tripp Gibson
MIA201909110,575629,Shane,Livensparger,first,Shane Livensparger
MIA201909110,427053,Mark,Carlson,second,Mark Carlson
MIA201909110,427095,Kerwin,Danley,third,Kerwin Danley
HOU201909110,427243,Marvin,Hudson,home,Marvin Hudson
HOU201909110,484183,Cory,Blaser,first,Cory Blaser
HOU201909110,482641,Adrian,Johnson,second,Adrian Johnson
HOU201909110,482620,Chris,Conroy,third,Chris Conroy
SFN201909110,427184,Greg,Gibson,home,Greg Gibson
SFN201909110,503502,Ryan,Blakney,first,Ryan Blakney
SFN201909110,431232,Chad,Fairchild,second,Chad Fairchild
SFN201909110,482631,Mike,Estabrook,third,Mike Estabrook
COL201909110,573596,Pat,Hoberg,home,Pat Hoberg
COL201909110,427103,Gerry,Davis,first,Gerry Davis
COL201909110,639723,Brennan,Miller,second,Brennan Miller
COL201909110,427286,Brian,Knight,third,Brian Knight
TEX201909110,427413,Tony,Randazzo,home,Tony Randazzo
TEX201909110,483912,Mike,Muchlinski,first,Mike Muchlinski
TEX201909110,427128,Rob,Drake,second,Rob Drake
TEX201909110,427509,Tim,Timmons,third,Tim Timmons
MIN201909110,427093,Phil,Cuzzi,home,Phil Cuzzi
MIN201909110,503077,Adam,Hamari,first,Adam Hamari
MIN201909110,427206,Tom,Hallion,second,Tom Hallion
MIN201909110,429805,Todd,Tichenor,third,Todd Tichenor
