retro_game_id,year,month,day,st_fl,regseason_fl,playoff_fl,game_type,game_type_des,local_game_time,game_id,home_team_id,away_team_id,home_team_lg,away_team_lg,interleague_fl,park_id,park_name,inning_number,home_id,park_location,b,s,o,des,event,player_mlbid,player_first_name,player_last_name,player_box_name,pitch,event_num,home_team_runs,away_team_runs
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,1,1,"Flushing, NY",0,0,1,Injury Delay.,Game Advisory,429664,Robinson,Cano,Canó,1,44,1,0
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,4,1,"Flushing, NY",0,0,2,Mound Visit.,Game Advisory,594798,Jacob,deGrom,deGrom,1,32,2,0
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,5,0,"Flushing, NY",2,1,2,"Jarrod Dyson steals (30) 2nd base.   Jarrod Dyson to 3rd.  Jarrod Dyson advances to 3rd, on a throwing error by catcher Wilson Ramos.",Stolen Base 2B,502481,Jarrod,Dyson,"Dyson, J",3,26,2,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,7,1,"Flushing, NY",0,0,0,"Pitching Change: Yoan Lopez replaces Merrill Kelly, batting 9th, replacing pitcher Merrill Kelly.",Pitching Substitution,661255,Yoan,Lopez,"Lopez, Y",1,20,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,7,1,"Flushing, NY",0,0,1,Offensive Substitution: Pinch-hitter Joe Panik replaces Jacob deGrom.,Offensive Substitution,605412,Joe,Panik,Panik,1,23,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,7,1,"Flushing, NY",0,0,1,Mound Visit.,Game Advisory,605412,Joe,Panik,Panik,1,24,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,7,1,"Flushing, NY",0,0,1,"Pitching Change: Robby Scott replaces Yoan Lopez, batting 9th, replacing pitcher Yoan Lopez.",Pitching Substitution,582494,Robby,Scott,"Scott, Ro",1,25,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,7,1,"Flushing, NY",0,0,2,Mound Visit.,Game Advisory,624413,Pete,Alonso,"Alonso, P",1,30,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,7,1,"Flushing, NY",0,0,2,"Defensive Substitution: Alex Avila replaces pitcher Robby Scott, batting 9th, playing catcher.",Defensive Sub,488671,Alex,Avila,Avila,1,31,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,7,1,"Flushing, NY",0,0,2,"Pitching Change: Stefan Crichton replaces Robby Scott, batting 6th, replacing catcher Carson Kelly.",Pitching Substitution,592233,Stefan,Crichton,Crichton,1,32,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,8,0,"Flushing, NY",0,0,0,"Defensive Substitution: Juan Lagares replaces left fielder J.  D. Davis, batting 6th, playing center field.",Defensive Sub,501571,Juan,Lagares,Lagares,1,1,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,8,0,"Flushing, NY",0,0,0,Defensive switch from center field to left field for Brandon Nimmo.,Defensive Switch,607043,Brandon,Nimmo,Nimmo,1,2,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,8,0,"Flushing, NY",0,0,0,"Pitching Change: Seth Lugo replaces Jacob deGrom, batting 9th.",Pitching Substitution,607625,Seth,Lugo,"Lugo, S",1,3,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,8,1,"Flushing, NY",0,0,1,Mound Visit.,Game Advisory,429664,Robinson,Cano,Canó,1,24,3,1
NYN201909090,2019,9,9,F,T,F,R,Regular Season,19:10,566057,nyn,ari,NL,NL,F,3289,Citi Field,8,1,"Flushing, NY",0,0,1,"Pitching Change: T.  J. McFarland replaces Stefan Crichton, batting 6th, replacing pitcher Stefan Crichton.",Pitching Substitution,519008,T.J.,McFarland,McFarland,1,25,3,1
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,3,0,"Philadelphia, PA",1,2,2,Dansby Swanson steals (8) 2nd base.,Stolen Base 2B,621020,Dansby,Swanson,Swanson,4,21,0,4
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,6,1,"Philadelphia, PA",0,0,1,Offensive Substitution: Pinch-hitter Brad Miller replaces Aaron Nola.,Offensive Substitution,543543,Brad,Miller,"Miller, B",1,23,1,4
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,7,0,"Philadelphia, PA",0,0,0,"Pitching Change: Nick Pivetta replaces Aaron Nola, batting 9th.",Pitching Substitution,601713,Nick,Pivetta,Pivetta,1,1,1,4
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,8,0,"Philadelphia, PA",0,0,0,"Pitching Change: Edgar Garcia replaces Nick Pivetta, batting 9th, replacing pitcher Nick Pivetta.",Pitching Substitution,658305,Edgar,Garcia,"Garcia, Ed",1,1,1,7
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,8,0,"Philadelphia, PA",0,0,2,Offensive Substitution: Pinch-hitter Johan Camargo replaces Mike Foltynewicz.,Offensive Substitution,622666,Johan,Camargo,Camargo,1,16,1,7
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,8,1,"Philadelphia, PA",0,0,0,"Defensive Substitution: Billy Hamilton replaces  Johan Camargo, batting 9th, playing center field.",Defensive Sub,571740,Billy,Hamilton,Hamilton,1,27,1,7
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,8,1,"Philadelphia, PA",0,0,0,"Pitching Change: Sean Newcomb replaces Mike Foltynewicz, batting 5th, replacing right fielder Matt Joyce.",Pitching Substitution,656794,Sean,Newcomb,Newcomb,1,28,1,7
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,8,1,"Philadelphia, PA",0,0,0,Defensive switch from center field to right field for Ronald Acuna.,Defensive Switch,660670,Ronald,Acuna,Acuña Jr.,1,29,1,7
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,8,1,"Philadelphia, PA",0,0,0,Offensive Substitution: Pinch-hitter Scott Kingery replaces Adam Haseley.,Offensive Substitution,664068,Scott,Kingery,Kingery,1,30,1,7
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,8,1,"Philadelphia, PA",0,0,1,Offensive Substitution: Pinch-hitter Sean Rodriguez replaces Maikel Franco.,Offensive Substitution,446481,Sean,Rodriguez,"Rodríguez, S",1,33,1,7
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,8,1,"Philadelphia, PA",0,0,2,Offensive Substitution: Pinch-hitter Jose Pirela replaces Edgar Garcia.,Offensive Substitution,517369,Jose,Pirela,Pirela,1,36,1,7
PHI201909090,2019,9,9,F,T,F,R,Regular Season,19:05,567131,phi,atl,NL,NL,F,2681,Citizens Bank Park,9,0,"Philadelphia, PA",0,0,0,Scott Kingery remains in the game as the center fielder.,Defensive Switch,664068,Scott,Kingery,Kingery,1,1,1,7
