retro_game_id,year,month,day,st_fl,regseason_fl,playoff_fl,game_type,game_type_des,local_game_time,game_id,home_team_id,away_team_id,home_team_lg,away_team_lg,interleague_fl,park_id,park_name,inning_number,home_id,park_location,b,s,o,des,event,player_mlbid,player_first_name,player_last_name,player_box_name,pitch,event_num,home_team_runs,away_team_runs
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,1,1,"Kansas City, MO",2,2,1,Adalberto Mondesi steals (32) 2nd base.,Stolen Base 2B,609275,Adalberto,Mondesi,Mondesi,4,39,0,1
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,1,1,"Kansas City, MO",0,0,2,Mound Visit.,Game Advisory,621433,Brett,Phillips,Phillips,1,58,3,1
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,2,1,"Kansas City, MO",3,2,1,Adalberto Mondesi steals (33) 2nd base.,Stolen Base 2B,609275,Adalberto,Mondesi,Mondesi,5,19,3,1
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,5,1,"Kansas City, MO",0,0,1,Mound Visit.,Game Advisory,656811,Ryan,O'Hearn,O'Hearn,1,29,3,3
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,5,1,"Kansas City, MO",0,0,1,Pitching Change: Richard Bleier replaces Aaron Brooks.,Pitching Substitution,542947,Richard,Bleier,Bleier,1,30,3,3
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,6,0,"Kansas City, MO",3,1,1,"Jonathan Villar steals (33) 2nd base.   Jonathan Villar to 3rd.  Jonathan Villar advances to 3rd, on a throwing error by catcher Meibrys Viloria.",Stolen Base 2B,542340,Jonathan,Villar,Villar,4,11,3,3
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,0,"Kansas City, MO",0,0,1,Mound Visit.,Game Advisory,593643,Hanser,Alberto,Alberto,1,12,3,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,0,"Kansas City, MO",0,0,1,Pitching Change: Kevin McCarthy replaces Danny Duffy.,Pitching Substitution,641838,Kevin,McCarthy,McCarthy,1,13,3,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,0,"Kansas City, MO",0,1,1,Richie Martin steals (8) 2nd base.,Stolen Base 2B,621006,Richie,Martin,"Martin, Ri",1,14,3,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,1,"Kansas City, MO",0,0,0,Mound Visit.,Game Advisory,624585,Jorge,Soler,Soler,1,28,3,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,1,"Kansas City, MO",0,0,0,Pitching Change: Miguel Castro replaces Richard Bleier.,Pitching Substitution,612434,Miguel,Castro,"Castro, M",1,29,3,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,1,"Kansas City, MO",1,0,1,Adalberto Mondesi steals (34) 2nd base.,Stolen Base 2B,609275,Adalberto,Mondesi,Mondesi,1,32,3,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,1,"Kansas City, MO",0,0,2,Mound Visit.,Game Advisory,460086,Alex,Gordon,"Gordon, A",1,37,3,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,1,"Kansas City, MO",0,0,2,Pitching Change: Paul Fry replaces Miguel Castro.,Pitching Substitution,643316,Paul,Fry,"Fry, P",1,38,3,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,1,"Kansas City, MO",0,0,2,Offensive Substitution: Pinch-hitter Cheslor Cuthbert replaces Ryan O'Hearn.,Offensive Substitution,596144,Cheslor,Cuthbert,Cuthbert,1,42,4,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,1,"Kansas City, MO",0,0,2,Mound Visit.,Game Advisory,596144,Cheslor,Cuthbert,Cuthbert,1,43,4,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,7,1,"Kansas City, MO",0,0,2,Pitching Change: Shawn Armstrong replaces Paul Fry.,Pitching Substitution,542888,Shawn,Armstrong,Armstrong,1,44,4,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,8,0,"Kansas City, MO",0,0,0,Cheslor Cuthbert remains in the game as the first baseman.,Defensive Switch,596144,Cheslor,Cuthbert,Cuthbert,1,1,5,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,8,0,"Kansas City, MO",0,0,2,Offensive Substitution: Pinch-hitter DJ Stewart replaces Pedro Severino.,Offensive Substitution,621466,DJ,Stewart,"Stewart, D",1,17,5,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,8,1,"Kansas City, MO",0,0,0,"Defensive Substitution: Chance Sisco replaces  DJ Stewart, batting 6th, playing catcher.",Defensive Sub,642082,Chance,Sisco,Sisco,1,25,5,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,9,0,"Kansas City, MO",0,0,0,Pitching Change: Ian Kennedy replaces Kevin McCarthy.,Pitching Substitution,453178,Ian,Kennedy,Kennedy,1,1,6,4
KCA201909010,2019,9,1,F,T,F,R,Regular Season,13:15,565771,kca,bal,AL,AL,F,7,Kauffman Stadium,9,0,"Kansas City, MO",0,0,2,Offensive Substitution: Pinch-hitter Jace Peterson replaces Richie Martin.,Offensive Substitution,607054,Jace,Peterson,Peterson,1,13,6,4
ANA201909010,2019,9,1,F,T,F,R,Regular Season,13:07,564802,ana,bos,AL,AL,F,1,Angel Stadium,1,0,"Anaheim, CA",2,1,0,Wild pitch by pitcher Andrew Heaney.   Mookie Betts to 2nd.,Wild Pitch,605141,Mookie,Betts,Betts,3,7,0,0
