retro_game_id,year,month,day,st_fl,regseason_fl,playoff_fl,game_type,game_type_des,local_game_time,game_id,home_team_id,away_team_id,home_team_lg,away_team_lg,interleague_fl,park_id,park_name,park_location,inning_number,bat_home_id,outs_ct,pit_mlbid,pit_first_name,pit_last_name,pit_box_name,pit_hand_cd,bat_mlbid,bat_first_name,bat_last_name,bat_box_name,bat_hand_cd,ab_number,start_bases,end_bases,event_outs_ct,pa_ball_ct,pa_strike_ct,pitch_seq,pa_terminal_fl,pa_event_cd,pitch_res,pitch_des,pitch_id,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,pitch_type_seq,type_confidence,zone,spin_dir,spin_rate,sv_id,event_num
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,0,641302,Tyler,Alexander,Alexander,L,593643,Hanser,Alberto,Alberto,R,1,___,___,1,0,0,X,T,2,X,"In play, out(s)",2,86.39,175.03,91.2,84.1,3.67,1.71,7.63,7.86,0.8,2.36,2.29,50.0,5.7,-6.52,-132.59,-5.34,13.71,25.87,-18.06,24.0,33.6,4.8,FF,FF,,,,,190916_201049,2
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,1,641302,Tyler,Alexander,Alexander,L,641820,Trey,Mancini,Mancini,R,2,___,___,2,0,0,B,F,2,B,Ball,5,65.77,159.51,91.3,84.0,3.91,1.77,8.55,7.42,1.34,2.93,2.38,50.0,5.76,-5.65,-132.82,-3.86,15.38,26.41,-18.82,24.0,36.0,6.0,FT,FT,,,,,190916_201112,5
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,1,641302,Tyler,Alexander,Alexander,L,641820,Trey,Mancini,Mancini,R,2,___,___,2,1,0,BS,F,2,S,Called Strike,6,119.96,187.72,90.8,83.9,3.9,1.78,8.44,8.42,-0.08,1.89,2.18,50.0,5.57,-8.77,-131.95,-6.33,15.03,25.3,-17.17,24.0,36.0,4.8,FF,FT|FF,,,,,190916_201124,6
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,1,641302,Tyler,Alexander,Alexander,L,641820,Trey,Mancini,Mancini,R,2,___,___,2,1,1,BSS,F,2,S,Foul,7,86.73,180.09,92.0,84.7,3.67,1.71,8.46,8.2,0.79,2.17,2.36,50.0,5.51,-7.05,-133.71,-5.59,15.44,26.82,-17.22,24.0,37.2,4.8,FT,FT|FF|FT,,,,,190916_201141,7
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,1,641302,Tyler,Alexander,Alexander,L,641820,Trey,Mancini,Mancini,R,2,___,___,2,1,2,BSSX,T,2,X,"In play, out(s)",8,156.07,150.2,84.8,77.9,3.67,1.71,-2.61,1.69,-1.03,3.29,2.46,50.0,5.57,-7.65,-123.14,0.53,-4.01,24.17,-29.58,24.0,10.8,8.4,SL,FT|FF|FT|SL,,,,,190916_201204,8
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,2,641302,Tyler,Alexander,Alexander,L,623993,Anthony,Santander,Santander,R,3,___,___,3,0,0,B,F,2,B,Ball,11,75.5,169.94,91.9,84.3,3.54,1.66,9.54,7.0,1.09,2.55,2.32,50.0,5.64,-6.53,-133.55,-4.48,17.3,27.61,-19.47,24.0,38.4,6.0,FT,FT,,,,,190916_201234,11
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,2,641302,Tyler,Alexander,Alexander,L,623993,Anthony,Santander,Santander,R,3,___,___,3,1,0,BB,F,2,B,Ball,12,112.52,205.44,91.3,83.9,3.45,1.63,9.22,8.15,0.12,1.23,2.28,50.0,5.39,-8.82,-132.5,-7.54,16.47,27.11,-17.61,24.0,37.2,6.0,FT,FT|FT,,,,,190916_201246,12
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,2,641302,Tyler,Alexander,Alexander,L,623993,Anthony,Santander,Santander,R,3,___,___,3,2,0,BBS,F,2,S,Swinging Strike,13,86.27,165.75,92.7,85.0,3.26,1.58,8.86,7.03,0.81,2.71,2.28,50.0,5.63,-7.0,-134.77,-4.18,16.34,28.33,-19.2,24.0,37.2,6.0,FT,FT|FT|FT,,,,,190916_201302,13
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,2,641302,Tyler,Alexander,Alexander,L,623993,Anthony,Santander,Santander,R,3,___,___,3,2,1,BBSS,F,2,S,Foul,14,115.51,185.48,92.5,85.0,3.26,1.58,8.93,7.81,0.04,1.97,2.21,50.0,5.5,-8.86,-134.32,-6.02,16.42,27.48,-17.82,24.0,37.2,4.8,FT,FT|FT|FT|FT,,,,,190916_201322,14
DET201909160,2019,9,16,F,T,F,R,Regular Season,16:10,565584,det,bal,AL,AL,F,2394,Comerica Park,"Detroit, MI",1,0,2,641302,Tyler,Alexander,Alexander,L,623993,Anthony,Santander,Santander,R,3,___,___,3,2,2,BBSSS,F,2,S,Foul,15,158.9,179.44,82.5,76.9,3.26,1.58,-2.6,-0.54,-1.1,2.2,2.32,50.0,5.72,-7.34,-119.89,-1.46,-3.83,20.22,-32.96,24.0,8.4,9.6,CU,FT|FT|FT|FT|CU,,,,,190916_201342,15
